feature,importance
C1,11.319852596565514
TransactionAmt,10.963356115561721
C5,10.71818457468376
D2,9.962970415559631
C2,9.56610887002471
P_emaildomain,8.406483306648257
C4,7.905678094198817
D1,7.48658508170756
D3,7.08057118742061
ProductCD,6.720805630141769
card6,5.779543355752451
card4,3.2307026845304865
C3,0.8591580872047504
